artist
Francis Newton Souza
Maqbool Fida Husain
Sayed Haider Raza
Jamini Roy
Ram Kumar
Akbar Padamsee
Krishen Khanna
Jogen Chowdhury
Sakti Burman
Ganesh Pyne
B Prabha
Laxma Goud
Arpita Singh
Subodh Gupta
Jitish Kallat
George Keyt
Jagdish Swaminathan
Badri Narayan
Krishna Hawlaji Ara
K G Subramanyan
Atul Dodiya
Bhupen Khakhar
T V Santhosh
Kattingeri Krishna Hebbar
Narayan Shridhar Bendre
Gulam Rasool Santosh
Vasudeo S Gaitonde
Manjit Bawa
Tyeb Mehta
Shibu Natesan
Jehangir Sabavala
Nandalal Bose
Thotha Vaikuntam
Jagannath Panda
Bikash Bhattacharjee
Paritosh Sen
Satish Gujral
K M Adimoolam
Manu Parekh
Shanti Dave
Baiju Parthan
Himmat Shah
Anjolie Ela Menon
Jamil Naqsh
Riyas Komu
G R Iranna
Anju Dodiya
Prabhakar Barwe
Chittrovanu Mazumdar
Lalu Prasad Shaw
Rameshwar Broota
Justin Ponmany
Jayashri Chakravarty
Zarina Hashmi
Paramjit Singh
Rabindra Nath Tagore
Hari Ambados Gade
Natraj Sharma
Bose Krishnamachari
Somnath Hore
Krishna Shamrao Kulkarni
Sudarshan Shetty
Rajendra Dhawan
Sudhir Patwardhan
Shyamal Dutta Ray
Surendran Nair
Biren De
Sumir Tagra
Jiten Thukral
Sudhanshu Sutar
Arup Das
Anandajit Ray
Sadanand K Bakre
G Ravinder Reddy
J Sultan Ali
Rekha Rodwittiya
Nalini Malani
Arpana Caur
Hema Upadhyay
Dhananjay Singh
Manisha Parekh
A Ramachandran
Gaganendranath Tagore
Ganesh Haloi
Sohan Qadri
Abanindranath Tagore
Mithu Sen
Hemen Mazumdar
Sunil Das
A Balasubramaniam
Mahadev Viswanath Dhurandhar
Phanendra Nath Chaturvedi
Natvar Bhavsar
Laxman Pai
Ivan Peries
Chintan Upadhyay
Chitra Ganesh
Ramkinkar Baij
Shiavax Chavda
Prabharkar Kolte
Paresh Maity
Ahmed Parvez
Ashim Purkayastha
Raja Ravi Varma
B Vithal
N S Harsha
Manish Pushkale
Gulam Sheikh
Nasreen Mohamedi
Anita Dube
Farhad Hussain
Reena Saini Kallat
Shilpa Gupta
Gigi Scaria
Anwar Jelal Shemza
S Harsha Vardhana
Anant Joshi
Arunkumar H G
Arunanshu Chowdhury
Dhruva Mistry
Meera Mukherjee
Nilima Sheikh
Bari Kumar
Sujata Bajaj
Balraj Khanna
Rina Banerjee
Ambadas
Rasik Durgashanker Raval
Ram Bali Chauhan
Mohan B Samant
Anjum Singh
Vivan Sundaram
Sachin Karne
Atul Bhalla
Abdul Rahiman Appabhai Almelkar
Gopikrishna
Yashwant Deshmukh
Prajakta Palav
Kishor Shinde
V Viswanadhan
Antonio Xavier Trindade
Vivek Vilasini
Badri Nath Arya
